whole_document_context,claim,label
"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",The United States has the highest number of nuclear power plants in the world,FALSE
"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",The United States has 94 operating reactors,FALSE
"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",France has a significant number of nuclear power plants,FALSE
"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",China has a significant number of nuclear power plants,FALSE
"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",Russia has a significant number of nuclear power plants,FALSE
"The United States has the highest number of nuclear power plants in the world, with 94 operating reactors. Other countries with a significant number of nuclear power plants include France, China, Russia, and South Korea.",South Korea has a significant number of nuclear power plants,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Jack Dorsey is the CEO of Twitter,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Jack Dorsey co-founded Twitter in 2006,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Jack Dorsey served as the CEO of Twitter until 2008,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Jack Dorsey returned as CEO of Twitter in 2015,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Jack Dorsey is the CEO and co-founder of Square,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Time magazine recognized Jack Dorsey as one of the 100 most influential people in the world,FALSE
"The CEO of Twitter at the time of writing this answer is Jack Dorsey. He co-founded Twitter in 2006 and served as the CEO until 2008, and returned as CEO in 2015. Dorsey is also the CEO and co-founder of Square, a financial services and mobile payment company. He has been recognized as one of Time magazine's 100 most influential people in the world and has also been awarded the Innovator of the Year Award by Wall Street Journal.",Wall Street Journal awarded Jack Dorsey the Innovator of the Year Award,FALSE
"No, Jupiter is less dense than Saturn. Jupiter has a density of 1.33 grams per cubic centimeter, while Saturn has a density of 0.69 grams per cubic centimeter. This is because Jupiter is mostly made up of gas, while Saturn has a larger proportion of solid materials in its composition.",Jupiter is less dense than Saturn,FALSE
